timestamp,value,epc
08/01/2023 00:43,23.5,E2:80:B0:4C:3C:00:00:00:08:00:6E:9E
08/01/2023 00:43,20.75,00:80:B0:44:3C:00:00:00:12:66:05:53
08/01/2023 00:45,23.5,E2:80:B0:4C:3C:00:00:00:08:00:6E:9E
08/01/2023 00:45,21,00:80:B0:44:3C:00:00:00:12:66:05:53
08/01/2023 00:45,20.5,00:80:B0:44:3C:00:00:00:12:0F:48:7D
08/01/2023 00:47,20.75,00:80:B0:44:3C:00:00:00:12:0F:48:7D
08/01/2023 00:47,21,00:80:B0:44:3C:00:00:00:12:66:05:53
08/01/2023 00:47,23.5,E2:80:B0:4C:3C:00:00:00:08:00:6E:9E
08/01/2023 00:49,23.5,E2:80:B0:4C:3C:00:00:00:08:00:6E:9E
08/01/2023 00:49,21,00:80:B0:44:3C:00:00:00:12:66:05:53
08/01/2023 00:49,20.75,00:80:B0:44:3C:00:00:00:12:0F:48:7D
08/01/2023 00:51,20.75,00:80:B0:44:3C:00:00:00:12:0F:48:7D
08/01/2023 00:51,21,00:80:B0:44:3C:00:00:00:12:66:05:53
08/01/2023 00:51,23.5,E2:80:B0:4C:3C:00:00:00:08:00:6E:9E
08/01/2023 00:53,21,00:80:B0:44:3C:00:00:00:12:66:05:53
08/01/2023 00:53,20.75,00:80:B0:44:3C:00:00:00:12:0F:48:7D
08/01/2023 00:53,23.5,E2:80:B0:4C:3C:00:00:00:08:00:6E:9E
08/01/2023 00:55,21,00:80:B0:44:3C:00:00:00:12:66:05:53
08/01/2023 00:55,23.5,E2:80:B0:4C:3C:00:00:00:08:00:6E:9E
08/01/2023 00:55,20.75,00:80:B0:44:3C:00:00:00:12:0F:48:7D
08/01/2023 00:57,20.75,00:80:B0:44:3C:00:00:00:12:0F:48:7D
08/01/2023 00:57,21,00:80:B0:44:3C:00:00:00:12:66:05:53
08/01/2023 00:57,23.5,E2:80:B0:4C:3C:00:00:00:08:00:6E:9E
08/01/2023 00:59,21,00:80:B0:44:3C:00:00:00:12:66:05:53
08/01/2023 00:59,20.75,00:80:B0:44:3C:00:00:00:12:0F:48:7D
08/01/2023 00:59,23.5,E2:80:B0:4C:3C:00:00:00:08:00:6E:9E
08/01/2023 01:01,23.5,E2:80:B0:4C:3C:00:00:00:08:00:6E:9E
08/01/2023 01:01,21,00:80:B0:44:3C:00:00:00:12:66:05:53
08/01/2023 01:01,20.75,00:80:B0:44:3C:00:00:00:12:0F:48:7D
08/01/2023 01:03,23.5,E2:80:B0:4C:3C:00:00:00:08:00:6E:9E
08/01/2023 01:03,20.75,00:80:B0:44:3C:00:00:00:12:0F:48:7D
08/01/2023 01:03,21,00:80:B0:44:3C:00:00:00:12:66:05:53
08/01/2023 01:05,20.75,00:80:B0:44:3C:00:00:00:12:0F:48:7D
08/01/2023 01:05,23.5,E2:80:B0:4C:3C:00:00:00:08:00:6E:9E
08/01/2023 01:05,21,00:80:B0:44:3C:00:00:00:12:66:05:53
