timestamp,value,epc
08/05/2023 21:00,23.75,E2:80:B0:4C:3C:00:00:00:08:00:6E:9E
08/05/2023 21:00,21,00:80:B0:44:3C:00:00:00:12:0F:48:7D
08/05/2023 21:30,21,00:80:B0:44:3C:00:00:00:12:0F:48:7D
08/05/2023 21:30,24,E2:80:B0:4C:3C:00:00:00:08:00:6E:9E
08/05/2023 22:00,21.25,00:80:B0:44:3C:00:00:00:12:0F:48:7D
08/05/2023 22:00,24,E2:80:B0:4C:3C:00:00:00:08:00:6E:9E
08/05/2023 22:30,23.75,E2:80:B0:4C:3C:00:00:00:08:00:6E:9E
08/05/2023 22:30,21,00:80:B0:44:3C:00:00:00:12:0F:48:7D
08/05/2023 23:00,24,E2:80:B0:4C:3C:00:00:00:08:00:6E:9E
08/05/2023 23:00,21,00:80:B0:44:3C:00:00:00:12:0F:48:7D
08/05/2023 23:30,24,E2:80:B0:4C:3C:00:00:00:08:00:6E:9E
08/05/2023 23:30,21.25,00:80:B0:44:3C:00:00:00:12:0F:48:7D
08/06/2023 00:00,23.75,E2:80:B0:4C:3C:00:00:00:08:00:6E:9E
08/06/2023 00:00,20.75,00:80:B0:44:3C:00:00:00:12:0F:48:7D
08/06/2023 00:30,23.75,E2:80:B0:4C:3C:00:00:00:08:00:6E:9E
08/06/2023 00:30,21,00:80:B0:44:3C:00:00:00:12:0F:48:7D
08/06/2023 01:00,21.25,00:80:B0:44:3C:00:00:00:12:0F:48:7D
08/06/2023 01:00,24,E2:80:B0:4C:3C:00:00:00:08:00:6E:9E
08/06/2023 01:30,21.25,00:80:B0:44:3C:00:00:00:12:0F:48:7D
08/06/2023 01:30,24,E2:80:B0:4C:3C:00:00:00:08:00:6E:9E
08/06/2023 02:00,21,00:80:B0:44:3C:00:00:00:12:0F:48:7D
08/06/2023 02:00,23.75,E2:80:B0:4C:3C:00:00:00:08:00:6E:9E
08/06/2023 02:30,21,00:80:B0:44:3C:00:00:00:12:0F:48:7D
08/06/2023 02:30,23.75,E2:80:B0:4C:3C:00:00:00:08:00:6E:9E
08/06/2023 03:00,23.75,E2:80:B0:4C:3C:00:00:00:08:00:6E:9E
08/06/2023 03:00,21,00:80:B0:44:3C:00:00:00:12:0F:48:7D
08/06/2023 03:30,23.75,E2:80:B0:4C:3C:00:00:00:08:00:6E:9E
08/06/2023 04:00,24,E2:80:B0:4C:3C:00:00:00:08:00:6E:9E
08/06/2023 04:00,21,00:80:B0:44:3C:00:00:00:12:0F:48:7D
08/06/2023 04:30,21.25,00:80:B0:44:3C:00:00:00:12:0F:48:7D
08/06/2023 04:30,24,E2:80:B0:4C:3C:00:00:00:08:00:6E:9E
08/06/2023 05:00,21,00:80:B0:44:3C:00:00:00:12:0F:48:7D
08/06/2023 05:00,24,E2:80:B0:4C:3C:00:00:00:08:00:6E:9E
08/06/2023 05:30,24,E2:80:B0:4C:3C:00:00:00:08:00:6E:9E
08/06/2023 05:30,21.25,00:80:B0:44:3C:00:00:00:12:0F:48:7D
08/06/2023 06:00,24,E2:80:B0:4C:3C:00:00:00:08:00:6E:9E
08/06/2023 06:00,21.25,00:80:B0:44:3C:00:00:00:12:0F:48:7D
08/06/2023 06:30,23.75,E2:80:B0:4C:3C:00:00:00:08:00:6E:9E
